Gene,Neuron,TPM,Proportion of Cells,Neuron Functional Group
K02E2.8,AFD,94.25233766,9.387755102,Sensory
Y38E10A.9,AFD,261.5262018,9.387755102,Sensory
Y22D7AR.10,AIM,856.8096455,37.66423358,Interneuron
C49C8.6,AIY,326.0167617,32.94460641,Interneuron
pud-4,AIY,15.17217131,3.498542274,Interneuron
Y14H12A.2,AIY,13.69412252,3.206997085,Interneuron
cest-16,ALA,89.9534805,9.663865546,Sensory
nhr-221,ALA,81.90324596,7.983193277,Sensory
F35E12.2,ALM,50.48209661,8.819714656,Sensory
ZK185.5,ALN,327.1388341,7.142857143,Sensory
gcy-14,ASEL,3113.073988,63.07692308,Sensory
gcy-17,ASEL,895.9653057,46.15384615,Sensory
gcy-6,ASEL,821.9402959,35.38461538,Sensory
gcy-7,ASEL,895.5999587,29.74358974,Sensory
fbxa-215,ASEL,448.6379312,27.17948718,Sensory
Y46G5A.36,ASEL,584.8511669,10.76923077,Sensory
gcy-3,ASER,398.4482426,21.6066482,Sensory
gcy-11,ASG,9948.437987,83.69377163,Sensory
gcy-21,ASG,2232.914649,67.12802768,Sensory
F28A12.10,ASG,1182.962123,62.5432526,Sensory
gcy-15,ASG,434.8486731,42.51730104,Sensory
srm-4,ASH,1193.35376,55.68561873,Sensory
ugt-11,ASH,342.2464819,23.24414716,Sensory
srw-121,ASH,279.2152124,18.89632107,Sensory
srz-2,ASH,191.3768914,14.88294314,Sensory
F59A1.19,ASH,123.7346513,12.54180602,Sensory
clec-201,ASH,54.31883832,6.35451505,Sensory
F33E2.10,ASI,1985.480779,62.97760211,Sensory
K03H6.4,ASI,1381.555547,57.31225296,Sensory
C03H5.7,ASI,601.4208258,42.42424242,Sensory
srg-47,ASI,710.4144271,36.49538867,Sensory
M04D8.4,ASI,713.2735412,35.57312253,Sensory
C46H3.1,ASI,773.823194,29.11725955,Sensory
srx-43,ASI,355.4097787,23.45191041,Sensory
str-198,ASI,276.1758531,18.5770751,Sensory
W02D9.8,ASI,236.8013606,18.05006588,Sensory
F56C3.3,ASI,182.8370917,16.99604743,Sensory
srg-62,ASI,201.0827026,14.09749671,Sensory
linc-115,ASI,137.8080583,13.43873518,Sensory
cyp-14A4,ASI,141.1295409,11.85770751,Sensory
str-102,ASI,135.8872256,11.5942029,Sensory
F55E10.4,ASI,84.36956986,7.114624506,Sensory
F55E10.1,ASI,49.04082248,5.006587615,Sensory
Y22D7AL.1,ASI,37.18319081,4.084321476,Sensory
srg-66,ASI,21.3119654,2.635046113,Sensory
srw-10,ASJ,4120.865892,72.98578199,Sensory
ssu-1,ASJ,2802.237297,68.48341232,Sensory
F47D2.11,ASJ,1300.198669,58.05687204,Sensory
irld-60,ASJ,354.1261536,28.98894155,Sensory
srh-307,ASJ,452.201863,27.72511848,Sensory
F14D7.3,ASJ,291.0164139,27.09320695,Sensory
srh-16,ASJ,259.2011938,24.88151659,Sensory
srg-20,ASJ,311.9071694,23.61769352,Sensory
srw-6,ASJ,201.3595575,21.32701422,Sensory
irld-21,ASJ,204.1052274,21.16903633,Sensory
